Sector,Rep,Treatment,Class,Acronym,Start,Stop,Product,Ntreatment,Field,NH3_Base_Rx,Rx_6_20,Rx_6_29,Rx_7_11,Obj__Id,Time,Duration_s,Area_Count,Elevation_,Swth_Wdth_,Y_Offset_f,Speed_mph_,Distance_f,Track_deg_,Target_NRate,Applied_NRate,Pass_Num,Prod_ac_h_,Date,SI_6_15,SI_6_23,SI_7_6,SI_7_19,SI_8_3,SI_8_18,Yield
1,1,Risk-Averse Post-Establishment R4,Risk-Averse Post-Establishment R4,RAP-R4,88.659,103.659,NH3 82% N,SBF,2015S,30,30,60,60,587,3/31/2023,1,On,1180.95,20,0,5.7569,8.5219,0.7138,165.0003,163.4566,3,14.0858,3/31/2023,1.023815571,1.026000232,0.994276641,0.993957255,0.889167723,0.966770713,232.0022
2,1,Risk-Averse Post-Establishment Increased Rate,Risk-Averse Post-Establishment Increased Rate,RAP-IR,103.659,118.659,NH3 82% N,Irrigated Spring NH3,2015S,165,165,165,165,561,3/31/2023,1,On,1181.2395,20,0,5.8044,8.5382,0.2967,140.0013,138.4943,3,14.1127,3/31/2023,1.028762303,1.003949952,0.993145002,0.902089995,1.013855104,0.994461917,223.654
3,1,Risk-Averse Post-Establishment,Risk-Averse Post-Establishment,RAP,118.659,133.659,NH3 82% N,Irrigated Spring NH3,2015S,165,165,165,165,779,3/31/2023,1.004,On,1191.0197,20,0,5.8548,8.559,256.6354,30.0041,148.5456,5,14.0907,3/31/2023,1.027271725,1.021914054,0.991862093,1.035477202,0.959884676,1.004654574,274.874
4,2,Risk-Averse Post-Establishment,Risk-Averse Post-Establishment,RAP,133.659,148.659,NH3 82% N,SBF,2015S,30,60,60,30,781,3/31/2023,1.004,On,1190.4554,20,0,5.8764,8.5459,262.6056,138.001,72.7658,5,14.0691,3/31/2023,1.0101406,1.010997861,1.012804251,0.98597353,0.951998796,1.008160271,248.49
5,2,Risk-Averse Post-Establishment R4,Risk-Averse Post-Establishment R4,RAP-R4,148.659,163.659,NH3 82% N,SBF,2015S,30,60,60,30,368,3/31/2023,1,On,1183.7095,20,0,5.8259,8.485,90.6695,165.0003,165.2911,2,14.0247,3/31/2023,0.990665415,1.020320907,0.99252673,0.960276043,1.010057911,1.038533344,264.792
6,2,Risk-Averse Post-Establishment Increased Rate,Risk-Averse Post-Establishment Increased Rate,RAP-IR,163.659,178.659,NH3 82% N,Irrigated Spring NH3,2015S,165,165,165,165,327,3/31/2023,1,On,1181.1334,20,0,5.1615,7.9721,92.8012,165.0003,150.6778,2,13.1769,3/31/2023,1.022383116,1.07661121,0.948625128,1.027531824,1.00453118,0.99285935,240.95
7,3,Risk-Averse Post-Establishment Increased Rate,Risk-Averse Post-Establishment Increased Rate,RAP-IR,178.659,193.659,NH3 82% N,Irrigated Spring NH3,2015S,165,165,165,165,283,3/31/2023,0.999,On,1186.1779,20,0,5.7885,8.5252,81.9292,111.0018,50.4839,2,14.1054,3/31/2023,0.992617573,1.012946578,1.033656206,1.007360136,0.851004807,0.988580175,262.172
8,3,Risk-Averse Post-Establishment,Risk-Averse Post-Establishment,RAP,193.659,208.659,NH3 82% N,SBF,2015S,30,60,60,30,271,3/31/2023,1,On,1189.4456,20,0,5.8906,8.5941,90.3429,140.0013,135.6332,2,14.2051,3/31/2023,1.043075709,0.732198518,0.93251022,0.933969666,0.976157209,0.970791101,209.803
9,3,Risk-Averse Post-Establishment R4,Risk-Averse Post-Establishment R4,RAP-R4,208.659,223.659,NH3 82% N,Irrigated Spring NH3,2015S,165,165,165,165,785,3/31/2023,1,On,1189.4744,20,0,5.9071,8.5885,282.353,165.0003,97.9172,5,14.1959,3/31/2023,0.955971712,0.990990425,0.584643838,0.985180184,0.905469862,0.946153233,267.866
10,4,Risk-Averse Post-Establishment,Risk-Averse Post-Establishment,RAP,223.659,238.659,NH3 82% N,SBF,2015S,30,30,60,60,786,3/31/2023,1,On,1189.2087,20,0,5.8765,8.6115,284.0884,56.7462,100.7981,5,14.2338,3/31/2023,1.012775156,0.982021549,0.794954933,1.049568007,1.087399541,0.806083996,251.688
11,4,Risk-Averse Post-Establishment R4,Risk-Averse Post-Establishment R4,RAP-R4,238.659,253.659,NH3 82% N,SBF,2015S,30,30,60,60,787,3/31/2023,1,On,1188.9724,20,0,5.8817,8.5984,283.5274,30.0041,112.4308,5,14.2122,3/31/2023,0.931846331,0.700851147,0.516795348,0.921393391,0.958455722,1.004449284,237.887
12,4,Risk-Averse Post-Establishment Increased Rate,Risk-Averse Post-Establishment Increased Rate,RAP-IR,253.659,268.659,NH3 82% N,Irrigated Spring NH3,2015S,165,165,165,165,789,3/31/2023,1.004,On,1188.4573,20,0,5.8767,8.6049,278.6781,30.0041,52.847,5,14.1663,3/31/2023,0.933502599,0.943803964,0.961440156,0.977820765,0.966926089,1.00703577,201.465
